link,nombre,categoria,razon_rechazo,query_original,fecha_scraping,fecha_validacion
https://www.google.com/maps/place/Oh+My+Veggie/data=!4m7!3m6!1s0x960a33fcaaea00f1:0x1f97ab2631452464!8m2!3d-38.9421385!4d-68.1147991!16s%2Fg%2F11h8cqyr5j!19sChIJ8QDqqvwzCpYRZCRFMSarlx8?authuser=0&hl=en&rclk=1,Oh My Veggie,Natural goods store,"Es una tienda de productos naturales, no un establecimiento para consumir comida/bebida en el acto.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Pacha+M%C3%ADa+-+Almac%C3%A9n+Saludable/data=!4m7!3m6!1s0x960a33317868b519:0xae1a92061debe947!8m2!3d-38.9547446!4d-68.126382!16s%2Fg%2F11r13jn0dp!19sChIJGbVoeDEzCpYRR-nrHQaSGq4?authuser=0&hl=en&rclk=1,Pacha Mía - Almacén Saludable,Health food store,"Es un almacén o tienda de alimentos saludables, no un establecimiento para consumir en el lugar.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Vitalcer+-+Natural+Market/data=!4m7!3m6!1s0x960a33e372772ff7:0x45e59fbaf29acbf5!8m2!3d-38.9581273!4d-68.0605685!16s%2Fg%2F11h3lr2frb!19sChIJ9y93cuMzCpYR9cua8rqf5UU?authuser=0&hl=en&rclk=1,Vitalcer - Natural Market,Health food store,"Es un mercado o tienda de productos naturales, no un establecimiento gastronómico.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/MODO+COCINA/data=!4m7!3m6!1s0x960a3368b898b4c1:0xa8bcbcdc6749f19a!8m2!3d-38.9416881!4d-68.0970906!16s%2Fg%2F11yn1bl3_r!19sChIJwbSYuGgzCpYRmvFJZ9y8vKg?authuser=0&hl=en&rclk=1,MODO COCINA,Natural goods store,"Es una tienda de productos naturales, a pesar del nombre 'COCINA', su categoría no indica ser un restaurante.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Lumi+SIN+TACC+Nqn/data=!4m7!3m6!1s0x2cc401245c8d61a1:0x7329c64381b428a9!8m2!3d-38.9583548!4d-68.026332!16s%2Fg%2F11xdxyrlv8!19sChIJoWGNXCQBxCwRqSi0gUPGKXM?authuser=0&hl=en&rclk=1,Lumi SIN TACC Nqn,Health food store,"Es una tienda de alimentos saludables (especializada sin TACC), no un restaurante o cafetería.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/DIETETICA+NATURISTA/data=!4m7!3m6!1s0x960a33cd496d1205:0x598235971cabe31!8m2!3d-38.9585143!4d-68.060983!16s%2Fg%2F11b70cnswx!19sChIJBRJtSc0zCpYRMb7KcVkjmAU?authuser=0&hl=en&rclk=1,DIETETICA NATURISTA,Health food store,"Es una dietética o tienda de productos naturistas, no un establecimiento para consumir comida.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Gourmet+Lab+Market/data=!4m7!3m6!1s0x960a33d699f90f07:0x2a9ded38184b8d8!8m2!3d-38.9421313!4d-68.0522411!16s%2Fg%2F11lzpb35mr!19sChIJBw_5mdYzCpYR2LiEgdPeqQI?authuser=0&hl=en&rclk=1,Gourmet Lab Market,Gourmet grocery store,"Es una tienda de comestibles gourmet (supermercado especializado), no un restaurante o bar.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Natural+Shanti/data=!4m7!3m6!1s0x960a33ce28c8e8f3:0x53f4faed8fa7ecaf!8m2!3d-38.9519649!4d-68.0601083!16s%2Fg%2F11b75gp9x1!19sChIJ8-jIKM4zCpYRr-ynj-369FM?authuser=0&hl=en&rclk=1,Natural Shanti,Natural goods store,"Es una tienda de productos naturales, no un establecimiento para consumir comida/bebida en el lugar",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Harmony/data=!4m7!3m6!1s0x960a3300752db2b3:0x209bbe6cb0536b36!8m2!3d-38.9584622!4d-68.0563602!16s%2Fg%2F11vwxpr261!19sChIJs7ItdQAzCpYRNmtTsGy-myA?authuser=0&hl=en&rclk=1,Harmony,Natural goods store,"Es una tienda de productos naturales, no un establecimiento para consumir comida/bebida en el lugar",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Gluten+Free+Neuquen+S.A.S./data=!4m7!3m6!1s0x960a33f9abb54367:0xa556ca3cbc87fba1!8m2!3d-38.9633164!4d-68.063495!16s%2Fg%2F11h057pk9f!19sChIJZ0O1q_kzCpYRofuHvDzKVqU?authuser=0&hl=en&rclk=1,Gluten Free Neuquen S.A.S.,Natural goods store,"Es una tienda de productos naturales (sin gluten), no un establecimiento para consumir comida/bebida en el lugar",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/CABANE/data=!4m7!3m6!1s0x960a33b0450d66cf:0xaf2071b0d1d88942!8m2!3d-38.9548366!4d-68.0813358!16s%2Fg%2F11f0_djcqd!19sChIJz2YNRbAzCpYRQonY0bBxIK8?authuser=0&hl=en&rclk=1,CABANE,Wholesaler,"Es un mayorista, no un establecimiento gastronómico de venta al público",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Naturalmente/data=!4m7!3m6!1s0x699f819347bd5d65:0xd2491692c7729fe!8m2!3d-38.9412346!4d-68.092275!16s%2Fg%2F11s3y80mlh!19sChIJZV29R5OBn2kR_il3LGmRJA0?authuser=0&hl=en&rclk=1,Naturalmente,Natural goods store,"Es una tienda de productos naturales, no un establecimiento para consumir comida/bebida en el lugar",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Gaya+-+Tienda+de+alimentos/data=!4m7!3m6!1s0x960a33be508ef47f:0x29196b62c0139c0e!8m2!3d-38.9602636!4d-68.0621015!16s%2Fg%2F11vylj3_b5!19sChIJf_SOUL4zCpYRDpwTwGJrGSk?authuser=0&hl=en&rclk=1,Gaya - Tienda de alimentos,Natural goods store,"Es una tienda de alimentos, no un establecimiento para consumir comida/bebida en el lugar",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Almacen+saludable+Bellafran/data=!4m7!3m6!1s0x960a3344900409df:0x3c1fd3a4c9df0f7c!8m2!3d-38.9378051!4d-68.0845344!16s%2Fg%2F11vlm9vxb3!19sChIJ3wkEkEQzCpYRfA_fyaTTHzw?authuser=0&hl=en&rclk=1,Almacen saludable Bellafran,General store,"Es una tienda/almacén, no un establecimiento gastronómico",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Dietetica+Nutricia/data=!4m7!3m6!1s0x960a33b805f02f93:0x69b380da8e4f7971!8m2!3d-38.9505298!4d-68.0721402!16s%2Fg%2F11b6d26b8y!19sChIJky_wBbgzCpYRcXlPjtqAs2k?authuser=0&hl=en&rclk=1,Dietetica Nutricia,Health food store,"Es una tienda de alimentos saludables, no un establecimiento para consumir en el lugar o delivery de comidas preparadas",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Natural+Fresh/data=!4m7!3m6!1s0x960a33dc65e623b3:0xfc5bc622b7eb935e!8m2!3d-38.9424907!4d-68.0560693!16s%2Fg%2F11g6wz0wvv!19sChIJsyPmZdwzCpYRXpPrtyLGW_w?authuser=0&hl=en&rclk=1,Natural Fresh,Natural goods store,"Es una tienda de productos naturales, no un establecimiento para consumir en el lugar o delivery de comidas preparadas",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Kinuwa+%7C+Diet%C3%A9tica+%26+Health+Food/data=!4m7!3m6!1s0x960a330076580bb7:0xdb145b47320d4357!8m2!3d-38.969132!4d-68.0506178!16s%2Fg%2F11lmdthlq_!19sChIJtwtYdgAzCpYRV0MNMkdbFNs?authuser=0&hl=en&rclk=1,Kinuwa | Dietética & Health Food,Natural goods store,"Es una tienda de productos naturales/dietética, no un establecimiento para consumir en el lugar o delivery de comidas preparadas",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Diet%C3%A9tica+Integral/data=!4m7!3m6!1s0x960a33b6ca424a7d:0x93094a59b73d22e!8m2!3d-38.9516932!4d-68.0625908!16s%2Fg%2F11b70_bwmv!19sChIJfUpCyrYzCpYRLtJzm6WUMAk?authuser=0&hl=en&rclk=1,Dietética Integral,Natural goods store,"Es una tienda de productos naturales/dietética, no un establecimiento para consumir en el lugar o delivery de comidas preparadas",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
